Index;Latitude;Longitude;Distance from Tx [km];Terrain height [m a.s.l.]
308;51,3249195455156;16,7133707382597;30,8;147
309;51,3244941392587;16,7121027974402;30,9;146
310;51,324068719313;16,7108348801429;31;144
311;51,3236432856789;16,7095669863679;31,1;144
312;51,3232178383568;16,7082991161151;31,2;146
313;51,3227923773473;16,7070312693844;31,3;149
314;51,3223669026508;16,7057634461759;31,4;139
315;51,3219414142677;16,7044956464894;31,5;128
316;51,3215159121986;16,703227870325;31,6;129
317;51,3210903964439;16,7019601176826;31,7;130
318;51,320664867004;16,7006923885622;31,8;130
319;51,3202393238794;16,6994246829637;31,9;140
320;51,3198137670706;16,6981570008871;32;131
321;51,3193881965781;16,6968893423324;32,1;130
322;51,3189626124022;16,6956217072995;32,2;136
323;51,3185370145435;16,6943540957883;32,3;134
324;51,3181114030024;16,6930865077989;32,4;134
325;51,3176857777794;16,6918189433312;32,5;134
326;51,317260138875;16,6905514023852;32,6;132
327;51,3168344862896;16,6892838849608;32,7;125
328;51,3164088200236;16,688016391058;32,8;128
329;51,3159831400776;16,6867489206767;32,9;128
330;51,3155574464519;16,6854814738169;33;131
331;51,3151317391472;16,6842140504787;33,1;132
332;51,3147060181637;16,6829466506618;33,2;130
333;51,3142802835021;16,6816792743663;33,3;139
334;51,3138545351626;16,6804119215922;33,4;137
335;51,3134287731459;16,6791445923394;33,5;129
336;51,3130029974524;16,6778772866079;33,6;126
337;51,3125772080825;16,6766100043976;33,7;123
338;51,3121514050367;16,6753427457086;33,8;122
339;51,3117255883154;16,6740755105406;33,9;120
340;51,3112997579192;16,6728082988938;34;116
341;51,3108739138484;16,6715411107681;34,1;130
342;51,3104480561036;16,6702739461634;34,2;111
343;51,3100221846852;16,6690068050797;34,3;117
344;51,3095962995936;16,667739687517;34,4;120
345;51,3091704008294;16,6664725934752;34,5;119
346;51,308744488393;16,6652055229543;34,6;117
347;51,3083185622848;16,6639384759542;34,7;112
348;51,3078926225054;16,6626714524749;34,8;112
